region_id	split	west	south	east	north
mp_bhopal_train	train	77.16	23.01	77.66	23.51
mp_indore_train	train	75.61	22.47	76.11	22.97
mp_jabalpur_train	train	79.74	22.93	80.24	23.43
mp_ujjain_train	train	75.54	22.93	76.04	23.43
mp_sagar_train	train	78.49	23.59	78.99	24.09
mp_chhindwara_train	train	78.69	21.81	79.19	22.31
mp_khandwa_train	train	76.10	21.58	76.60	22.08
mp_khargone_train	train	75.36	21.57	75.86	22.07
mp_ratlam_train	train	74.79	23.08	75.29	23.58
mp_narmadapuram_train	train	77.49	22.49	77.99	22.99
mp_guna_train	train	77.06	24.40	77.56	24.90
mp_damoh_train	train	79.19	23.59	79.69	24.09
mp_katni_train	train	80.14	23.58	80.64	24.08
mp_seoni_train	train	79.29	21.84	79.79	22.34
mp_mandla_train	train	80.12	22.35	80.62	22.85
mp_shahdol_train	train	81.11	23.05	81.61	23.55
mp_tikamgarh_train	train	78.58	24.50	79.08	25.00
mp_harda_train	train	76.85	22.09	77.35	22.59
mp_barwani_train	train	74.65	21.78	75.15	22.28
mp_narsinghpur_train	train	78.94	22.70	79.44	23.20
mp_panna_train	train	79.93	24.47	80.43	24.97
mp_sidhi_train	train	81.63	24.15	82.13	24.65
mp_umaria_train	train	80.59	23.27	81.09	23.77
mp_dindori_train	train	80.83	22.69	81.33	23.19
mp_rajgarh_train	train	76.48	23.75	76.98	24.25
mp_agar_malwa_train	train	75.76	23.46	76.26	23.96
mp_mandsaur_val	val	74.82	23.82	75.32	24.32
mp_betul_val	val	77.65	21.66	78.15	22.16
mp_rewa_val	val	81.05	24.29	81.55	24.79
mp_chhatarpur_val	val	79.34	24.67	79.84	25.17
mp_sheopur_val	val	76.45	25.42	76.95	25.92
mp_gwalior_test	test	77.93	25.97	78.43	26.47
mp_jhabua_test	test	74.34	22.52	74.84	23.02
mp_balaghat_test	test	79.94	21.57	80.44	22.07
mp_singrauli_test	test	82.43	23.95	82.93	24.45
mp_burhanpur_test	test	75.97	21.07	76.47	21.57
mp_grid_x18_y09_val	val	78.25	23.00	78.75	23.50
mp_grid_x32_y09_val	val	81.75	23.00	82.25	23.50
mp_grid_x16_y16_val	val	77.75	24.75	78.25	25.25
mp_grid_x20_y21_val	val	78.75	26.00	79.25	26.50
mp_grid_x05_y07_val	val	75.00	22.50	75.50	23.00
mp_grid_x14_y21_val	val	77.25	26.00	77.75	26.50
mp_grid_x07_y15_val	val	75.50	24.50	76.00	25.00
mp_grid_x19_y02_val	val	78.50	21.25	79.00	21.75
mp_grid_x12_y03_val	val	76.75	21.50	77.25	22.00
mp_grid_x19_y17_val	val	78.50	25.00	79.00	25.50
